,Unnamed: 0,id,date,timepandemic,age,raceD,canada,provinceCA,sex,genderid,genderD,SexOrientationR,LGBTQ,LGBT_Subgroup,ARM_P,ARM_R,ARM_Total,WCC_P,WCC_SS,WCC_B,WCC_W,WCC_A,WCC_missing,Resilience_1,Resilience_2,Resilience_3,Resilience_4,Resilience_5,Resilience_6,Resilience_7,Resilience_8,Resilience_9,Resilience_10,Resilience_11,Resilience_12,Resilience_13,Resilience_14,Resilience_15,Resilience_16,Resilience_17,Coping_1,Coping_2,Coping_3,Coping_4,Coping_5,Coping_6,Coping_7,Coping_8,Coping_9,Coping_10,Coping_11,Coping_12,Coping_13,Coping_14,Coping_15,Coping_16,Coping_17,Coping_18,Coping_19,Coping_20,Coping_21,Coping_22,Coping_23,Coping_24,Coping_25,Coping_26,Coping_27,Coping_28,Coping_29,Coping_30,Coping_31,Coping_32,Coping_33,Coping_34,Coping_35,Coping_36,Coping_37,Coping_38,Coping_39,Coping_40,Coping_41,Coping_42
31,31,32,7/22/2020 11:14:30,131,34,1,1,9,1,1,0,1,0,0,48,33,81,22,14,3,15,15,1,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,2,1,3,1,1,2,4,4,3,3,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,4,1,1,1,2,1,3,1,1,1,4,1,2,2,1,1
32,32,33,7/22/2020 11:52:11,131,42,1,1,11,1,1,0,1,0,0,45,32,77,37,18,4,20,24,1,4,4,4,5,4,5,4,5,5,5,5,5,5,4,5,5,3,2,2,4,2,2,4,2,4,2,4,1,1,4,1,1,2,1,2,1,1,3,2,3,3,2,4,4,3,2,1,3,3,2,1,1,4,4,2,4,4,4,1
33,33,34,7/22/2020 11:52:27,131,40,1,1,11,1,1,0,2,0,0,38,29,67,29,19,5,11,13,1,4,4,4,3,4,5,4,4,4,4,3,4,4,3,5,3,5,3,2,3,2,2,3,1,1,3,4,1,2,1,2,1,2,2,2,1,1,2,1,2,3,1,1,2,1,2,2,1,2,3,2,3,1,2,2,1,1,1,2
34,34,35,7/22/2020 12:47:00,131,26,1,1,11,1,2,1,6,1,1,40,31,71,24,12,4,15,15,1,3,4,5,4,4,5,3,4,5,3,5,5,4,4,5,4,4,2,1,2,2,1,4,1,1,1,2,2,3,2,1,2,1,4,3,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,3,1,1,1,1,3,1
35,35,36,7/22/2020 13:35:35,131,27,1,1,11,0,0,0,1,0,0,36,22,58,19,12,6,14,15,1,4,5,4,3,2,5,3,3,4,1,3,4,3,4,3,4,3,2,4,3,4,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,3,1,1,2,1
36,36,37,7/22/2020 13:45:46,131,21,1,1,11,1,1,0,2,0,0,44,33,77,23,11,3,13,16,1,4,4,5,5,4,5,4,4,5,5,5,4,5,4,5,4,5,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,3,3,3,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,3,1,3,3,1
37,37,38,7/22/2020 13:46:47,131,59,1,1,11,1,1,0,1,0,0,40,32,72,21, ,3, , ,0,3,4,5,3,4,5,4,5,5,3,5,5,4,4,5,3,5,3, ,2,1,1,3,1,2,2,2, ,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,2, , ,3, , , , , , , , , , , 
38,38,39,7/22/2020 14:03:19,131,23,0,1,11,1,1,0,1,0,0,41,25,66,40,9,11,30,24,1,4,4,4,2,2,4,5,4,4,4,4,4,4,4,5,4,4,2,3,2,4,3,2,3,3,3,2,4,4,3,4,4,1,4,3,2,3,1,4,1,4,3,4,4,3,3,3,3,3,1,1,1,4,4,1,1,1,1,4
39,39,40,7/22/2020 15:53:44,131,20,0,1,11,1,1,0,1,0,0,44,33,77,26,12,4,12,12,1,5,5,5,5,5,5,4,3,5,2,5,5,3,5,5,5,5,3,2,2,2,3,3,1,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,3,2,1,1,1,1
40,40,41,7/22/2020 18:31:13,131,36,1,1,9,0,0,0,7,1,2,42,32,74,31,12,3,8,13,1,4,4,4,5,5,5,4,4,4,4,5,4,5,4,4,5,4,1,1,2,1,2,3,1,1,3,2,1,1,3,1,1,2,1,2,1,1,3,1,2,2,1,1,3,3,3,2,1,1,1,1,1,1,1,2,2,2,1,1
41,41,42,7/22/2020 22:13:39,131,51,1,0, ,1,1,0,1,0,0,44,17,61,47,19,4,10,19,1,4,4,4,2,2,5,5,2,5,3,2,5,5,5,2,4,2,4,2,4,2,3,4,1,1,3,4,1,1,3,1,1,3,2,3,1,1,2,1,4,3,1,1,4,4,4,3,3,3,1,1,3,1,1,2,4,3,4,1
42,42,43,7/22/2020 22:16:58,131,32,1,1,11,0,0,0,7,1,2,35,20,55,27,13,7,16,23,1,4,3,3,3,2,3,4,3,3,4,3,4,3,3,3,4,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,1,2,2,2,3,2,3,2,2
43,43,44,7/22/2020 22:32:28,131,25,0,1,11,1,1,0,1,0,0,33,35,68,20,17,3,12,11,1,3,4,3,5,5,5,3,5,3,3,5,3,3,5,5,3,5,1,1,4,1,1,3,1,1,2,4,1,1,1,1,1,1,2,1,1,1,4,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,2,1,1
44,44,45,7/22/2020 23:52:44,131,30,0,0, ,1,1,0,1,0,0,43,33,76,48,27,7,21,30,1,4,5,5,5,4,4,4,5,4,3,5,5,4,5,5,4,5,2,2,4,3,4,2,3,4,3,4,2,4,3,3,4,4,3,4,3,1,3,3,4,4,4,3,4,3,3,4,4,4,4,4,4,3,2,1,4,1,2,3
45,45,46,7/23/2020 0:00:57,132,47,0,0, ,1,1,0,1,0,0,47,34,81,29,19,4,13,15,1,5,5,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,2,1,4,2,2,3,2,2,3,4,1,1,2,1,1,1,2,2,1,1,3,1,4,2,1,2,2,2,1,1,4,2,1,1,2,2,2,2,3,2,1,1
46,46,47,7/23/2020 0:45:14,132,23,1,1,11,1,1,0,4,1,3,42,33,75,25,17,4,10,12,1,4,5,2,4,5,5,4,5,5,3,5,5,4,5,5,5,4,1,3,3,2,1,3,1,1,2,4,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,4,2,1,2,2,2,2,1,3,1,1,3,1,1,1,1
47,47,48,7/23/2020 8:16:59,132,43,1,1,11,1,1,0,4,1,3,31,18,49,39,14,6,21,27,1,2,5,5,2,2,3,3,3,3,3,1,3,2,3,3,2,4,3,3,3,4,4,3,2,2,2,3,1,1,3,1,2,1,3,2,3,1,1,3,3,3,2,4,3,3,3,3,3,3,1,1,2,2,3,4,3,3,4,3
48,48,49,7/23/2020 11:23:12,132,32,1,1,11,0,3,1,7,1,1,43,33,76,36,21,5,23,23,1,4,4,4,5,4,5,5,5,5,4,5,5,3,4,5,5,4,3,2,4,3,2,4,4,4,2,4,3,2,3,1,1,2,3,2,1,1,1,2,4,2,2,2,4,2,3,2,3,2,1,3,4,3,4,2,2,2,4,3
49,49,50,7/23/2020 12:06:24,132,29,1,1,11,0,3,1,8,1,1,31,31,62,29,11,4,20,17,1,4,4,4,5,4,4,3,4,4,2,5,4,2,3,5,1,4,4,2,3,2,1,2,2,1,3,2,2,1,2,1,1,1,4,1,1,1,1,4,2,2,1,1,1,2,3,1,4,2,1,1,1,3,2,1,2,4,4,1
50,50,51,7/23/2020 13:12:17,132,23,1,1,11,1,3,1,4,1,1,37,26,63,31,18,8,18,19,1,4,5,3,5,3,5,1,2,5,1,3,4,5,4,5,5,3,4,1,3,4,1,2,2,4,1,4,1,1,4,1,1,1,4,3,1,3,3,1,3,4,1,1,3,3,1,1,2,1,1,1,3,4,4,2,4,1,2,2
51,51,52,7/24/2020 0:00:23,133,49,0,1,11,1,1,0,1,0,0,44,32,76,33,17,3,12,10,1,3,4,3,5,4,4,5,4,5,5,5,5,5,4,5,5,5,1,3,4,1,4,3,1,1,2,3,1,1,2,1,1,1,2,3,1,1,3,1,3,1,1,1,3,3,2,4,1,3,1,1,2,1,2,1,1,1,1,1
52,52,53,7/24/2020 7:08:21,133,62,1,1,11,1,1,0,1,0,0,39,27,66,39,17,3,15,12,1,4,3,3,3,3,5,4,3,4,4,4,4,4,4,5,5,4,3,2,3,1,3,3,2,1,4,4,1,1,3,1,2,3,1,3,1,1,3,1,3,3,2,3,2,3,1,3,3,2,1,2,1,2,3,1,1,1,1,1
53,53,54,7/24/2020 10:30:08,133,23,1,0, ,1,1,0,7,1,2,29,27,56,14,15,3,8,15,1,2,5,3,4,2,5,4,3,3,3,4,3,3,2,4,1,5,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2
54,54,55,7/24/2020 10:40:15,133,23,1,0, ,0,0,0,1,0,0,30,22,52,15,8,7,13,21,1,4,4,2,3,3,4,4,1,3,1,3,4,5,2,5,1,3,1,1,1,3,1,1,1,2,2,1,2,4,1,3,4,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,1
55,55,56,7/24/2020 11:05:48,133,24,1,0, ,0,0,0,2,0,0,41,30,71,28,13,3,8,11,1,4,4,4,5,3,5,4,3,4,5,5,4,5,4,4,3,5,3,1,2,1,1,4,1,1,1,3,1,1,1,1,2,1,1,1,1,1,3,1,2,4,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1
56,56,57,7/24/2020 11:57:20,133,23,0,0, ,1,1,0,7,1,2,32,26,58,24,16,3,13,15,1,3,4,3,5,3,5,3,3,4,2,3,4,3,3,3,3,4,2,1,4,1,1,3,1,1,1,2,1,2,2,1,2,1,3,2,1,1,2,2,4,3,2,3,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1
57,57,58,7/24/2020 22:14:12,133,48,1,1,11,1,1,0,3,1,3,48,32,80,27,10,3,8,10,1,5,5,5,5,4,5,4,4,5,5,4,4,5,5,5,5,5,3,1,2,1,3,3,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1
58,58,59,7/24/2020 22:41:26,133,45,0,1,11,1,1,0,1,0,0,46,35,81,48,18,8,22,25,1,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,2,4,2,3,2,3,4,3,4,4,2,1,4,3,4,1,3,4,1,2,3,1,2,4,1,4,4,4,4,4,4,4,1,2,4,2,2,4,4,1,2,4
59,59,60,7/25/2020 0:11:20,134,27,1,1,1,0,0,0,4,1,3,42,30,72,46,16,3,20,17,1,4,5,4,4,4,4,4,4,5,4,5,4,4,5,5,3,4,4,2,3,1,4,4,2,2,4,3,2,1,4,1,2,1,4,3,1,1,2,1,3,2,1,2,2,4,4,3,4,3,1,1,3,3,4,4,1,1,2,2
60,60,61,7/25/2020 11:09:47,134,47,1,1,11,0,0,0,1,0,0,41,34,75,22,9,4,9,12,1,3,4,4,5,5,5,3,4,5,4,5,5,3,5,5,5,5,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,3,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2
61,61,62,7/25/2020 12:02:56,134,35,0,1,11,0,0,0,1,0,0,34,22,56,33,7,3,8,12,1,4,5,3,2,2,5,2,2,2,1,3,3,4,5,5,5,3,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,3,4,4,3,1,1,1,1,1,1,1,1,1,1,3,1
62,62,63,7/25/2020 13:47:58,134,29,1,1,11,0,0,0,1,0,0,47,24,71,37,13,4,12,14,1,5,5,5,3,2,5,5,4,3,5,2,4,5,5,4,5,4,2,1,2,2,3,3,1,1,2,2,1,3,1,1,1,3,2,1,1,1,2,2,2,4,2,1,4,2,2,4,3,3,1,2,2,2,2,1,2,1,1,1
63,63,64,7/25/2020 14:02:11,134,52,0,1,11,1,1,0,1,0,0,39,31,70,34,14,3,11,12,1,4,4,5,5,5,5,4,4,4,3,4,4,3,4,4,4,4,2,1,3,1,3,4,1,2,3,3,1,1,3,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,3,2,2,1,1,2,2,2,1,1,1,2,1
64,64,65,7/25/2020 14:25:18,134,56,1,1,11,0,0,0,7,1,2,48,34,82,34,19,4,19,18,1,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,2,1,3,2,2,3,2,1,3,3,3,1,2,1,2,2,3,2,1,1,3,1,3,3,2,2,3,2,2,3,2,3,1,3,3,3,4,4,1,3,1,2
65,65,66,7/25/2020 14:49:30,134,40,1,1,2,1,1,0,1,0,0,40,31,71,28,13,3,17,20,1,4,5,5,3,3,5,5,5,4,3,5,4,4,5,5,1,5,1,2,3,1,4,4,1,1,4,4,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,4,1,1,2,3,3,2,4,2,3,2
66,66,67,7/25/2020 17:59:54,134,37,1,1,11,0,0,0,1,0,0,43,33,76,34,17,3,8,14,1,5,4,5,5,4,5,3,4,4,3,5,4,5,5,5,5,5,4,1,4,1,2,4,1,1,1,3,1,1,4,1,1,2,1,1,1,1,2,1,2,4,1,1,3,3,2,1,2,1,3,1,2,1,1,2,2,3,1,1
67,67,68,7/25/2020 18:25:37,134,62,1,1,11,1,1,0,1,0,0,41,31,72,35,13,6,15,19,1,4,4,5,4,4,5,4,4,4,3,4,4,3,5,5,5,5,3,1,1,2,1,3,2,2,3,3,2,2,3,2,2,1,3,2,1,2,2,1,2,4,2,2,3,2,2,3,3,2,1,2,2,2,2,2,1,2,2,3
68,68,69,7/25/2020 18:49:00,134,35,1,1,11,1,1,0,1,0,0,37,26,63,30,7,3,9,15,1,4,3,4,3,1,5,3,4,4,2,5,4,5,3,5,5,3,3,1,1,1,1,4,1,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,3,2,1,4,3,1,1,1,1,1,1,1,1,2,1,1,1,4,1
69,69,70,7/25/2020 21:25:52,134,19,0,1,11,1,3,1,4,1,1,44,32,76,37,23,5,31,20,1,4,5,4,4,3,5,4,5,4,4,5,5,5,4,5,5,5,3,3,4,3,3,1,4,4,2,4,4,1,4,1,1,1,4,4,1,1,4,4,4,2,2,4,4,2,2,3,2,4,1,2,4,4,4,4,1,3,2,1
70,70,71,7/25/2020 21:25:56,134,57,1,1,11,1,1,0,3,1,3,33,19,52,29,12,6,13,21,1,4,5,4,3,2,5,3,1,2,2,3,3,4,4,2,2,3,4,4,2,3,2,4,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,1,2,3,1,2,1,2,2,1,1,1,1,2,1,1,1,3,2,4,3,2
71,71,72,7/25/2020 22:19:47,134,34,1,1,11,1,1,0,1,0,0,39,30,69,44,25,4,14,13,1,3,4,4,4,3,4,4,5,5,3,5,5,3,4,5,4,4,3,2,4,1,4,4,1,1,4,4,2,1,3,1,2,2,2,3,1,2,4,1,4,2,1,1,2,3,2,4,4,4,1,4,4,3,2,1,1,1,3,1
72,72,73,7/26/2020 14:07:56,135,47,1,1,11,1,1,0,1,0,0,39,34,73,40,18,8,21,24,1,4,4,4,5,5,5,4,4,3,3,5,3,4,5,5,5,5,3,2,4,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,2,2,1,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,2,2,1
